Gene Name,CD Name,Common Name,NS Probe ID,Gene Class,Cell Type,IR Type,Immune Response Category,Annotation,Synonyms / Previous Symbols
IKBKG,,IKK-gamma,NM_003639.2:470,Immune Response,,I,,Innate immune response,"IP2, IP1, IKK-gamma, NEMO, Fip3p, FIP-3, FIP3, ZC2HC9"
IL10,,IL10,NM_000572.2:230,Immune Response,,,Interleukins,"Immunosuppression, Interleukins","CSIF, TGIF, IL10A, IL-10"
IL10RA,CD210,IL10RA,NM_001558.2:150,Immune Response,,,Cytokines,"CD molecules, Cytokines and receptors","IL10R, HIL-10R, CDW210A, CD210a, CD210"
IL11,,IL11,NM_000641.2:1145,Immune Response,,,"B-Cell Functions, Cytokines, Interleukins, T-Cell Functions","Anti-inflammatory cytokines, B-cell differentiation, Interleukins","IL-11, AGIF"
IL11RA,,IL11RA,NM_147162.1:400,Immune Response,,,Chemokines,Chemokines and receptors,
IL12A,,p35,NM_000882.2:775,Immune Response,,A,"Cytokines, Interleukins, NK Cell Functions, Regulation, T-Cell Functions","Adaptive immune response, Anti-inflammatory cytokines, Interleukins, NK cell activation, Regulators of Th1 and Th2 development, Th1 orientation, Th1 & Th2 differentiation, T-cell polarization","NKSF1, CLMF, IL-12A, p35, NFSK"
IL12B,,IL12B,NM_002187.2:1435,Immune Response,,A,"Cytokines, Interleukins, NK Cell Functions, T-Cell Functions","Adaptive immune response, Anti-inflammatory cytokines, Cytokines and receptors, Interleukins, NK cell activation, Th1 orientation, Th1 & Th2 differentiation, T-cell differentiation, T-cell proliferation","NKSF2, CLMF, IL-12B, NKSF, CLMF2"
IL12RB1,CD212,IL12RB1,NM_005535.1:225,Immune Response,,A,"NK Cell Functions, T-Cell Functions","Adaptive immune response, CD molecules, T-cell polarization, Th1 & Th2 differentiation, Th1 orientation","IL12RB, CD212"
IL12RB2,,IL12RB2,NM_001559.2:1315,Immune Response - Cell Type specific,,A,"Cytokines, NK Cell Functions, T-Cell Functions","Adaptive immune response, Cell Type specific, Cytokines and receptors, Th1 orientation",
IL13,,IL13,NM_002188.2:516,Immune Response,,F,"Cytokines, Interleukins, T-Cell Functions","Anti-inflammatory cytokines, Cytokines and receptors, Interleukins, Macrophage activation, Regulators of Th1 and Th2 development, Th2 orientation","P600, IL-13, ALRH, BHR1, MGC116786, MGC116788, MGC116789"
IL13RA1,CD213a1,IL13RA1,NM_001560.2:1230,Immune Response,,,"Cytokines, T-Cell Functions","CD molecules, Cytokines and receptors, Th2 orientation","IL-13Ra, NR4, CD213a1"
IL13RA2,CD213a2,IL-13R,NM_000640.2:400,Immune Response,,,"Chemokines, T-Cell Functions","CD molecules, Chemokines and receptors, Th2 orientation","IL-13R, IL13BP, CD213a2, CT19"
IL15,,IL15,NM_172174.1:1685,Immune Response,,A,"Interleukins, Regulation","Adaptive immune response, Interleukins, Positive regulation of immune response","IL-15, MGC9721"
IL15RA,CD215,IL15RA,NM_002189.2:505,Immune Response,,A,Chemokines,"Adaptive immune response, CD molecules, Chemokines and receptors","CD215, IL-15RA"
IL16,,IL16,NM_004513.4:1262,Immune Response,,,Interleukins,Interleukins,"LCF, IL-16, prIL-16, HsT19289, FLJ42735, FLJ16806"
IL17A,,IL17A,NM_002190.2:240,Immune Response - Cell Type specific,,F,"Cytokines, Interleukins","Cell Type specific, Cytokines and receptors, Inflammatory response, Interleukins","CTLA8, IL17, IL-17A, IL-17"
IL17B,,IL17B,NM_014443.2:177,Immune Response,,,"Chemokines, Interleukins","Chemokines and receptors, Interleukins","IL-17B, ZCYTO7, IL-20, MGC138900, MGC138901, NIRF"
IL17F,,IL17F,NM_052872.3:210,Immune Response,,,Interleukins,Interleukins,"IL-17F, ML-1, ML1"
IL17RA,CD217,IL17RA,NM_014339.6:482,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific, CD molecules","IL17R, hIL-17R, IL-17RA, CDw217, CD217"
IL17RB,,IL17RB,NM_018725.3:225,Immune Response,,,Chemokines,Chemokines and receptors,"IL17BR, IL17RH1, EVI27, CRL4"
IL18,,IL18,NM_001562.2:48,Immune Response,,,"Interleukins, NK Cell Functions, T-Cell Functions","Interleukins, Th1 orientation","IGIF, IL1F4, IL-1g, IL-18"
IL18R1,CD218a,IL18R1,NM_003855.2:2025,Immune Response,,I,"NK Cell Functions, T-Cell Functions","CD molecules, Innate immune response, Th1 orientation","IL1RRP, IL-1Rrp, CD218a"
IL18RAP,CD218b,IL18RAP,NM_003853.2:2412,Immune Response,,I,"NK Cell Functions, T-Cell Functions","CD molecules, Innate immune response, Th1 orientation","AcPL, CD218b"
IL19,,IL19,NM_013371.3:1030,Immune Response,,,"Chemokines, Interleukins","Chemokines and receptors, Interleukins","IL-19, MDA1, ZMDA1, IL-10C, NG.1"
IL1A,,IL1-ALPHA,NM_000575.3:1085,Immune Response,,F;I,"Cytokines, Interleukins","Acute-phase response, Cytokines and receptors, Inflammatory response, Innate immune response, Interleukins","IL1, IL1F1, IL-1A, IL1-ALPHA"
IL1B,,IL1-BETA,NM_000576.2:840,Immune Response,,F;I,"Chemokines, Cytokines, Interleukins, Pathogen Defense, Regulation","Innate immune response, Chemokines and receptors, Cytokines and receptors, Defense response to virus, Interleukins, Regulation of inflammatory response","IL1F2, IL-1B, IL1-BETA"
IL1R1,CD121A,IL1R1,NM_000877.2:4295,Immune Response,,I,,"CD molecules, Innate immune response","IL1R, IL1RA, D2S1473, CD121A"
IL1R2,CD121b,IL1R2,NM_173343.1:113,Immune Response,,,Cytokines,"CD molecules, Cytokines and receptors","IL1RB, CD121b"
IL1RAP,,IL1RAP,NM_002182.2:460,Immune Response,,I,,Innate immune response,"IL-1RAcP, IL1R3, C3orf13"
IL1RAPL2,,IL1RAPL2,NM_017416.1:1800,Immune Response,,I,,Innate immune response,"IL-1R9, TIGIRR-1, IL1RAPL-2, IL1R9"
IL1RL1,,IL1RL1,NM_016232.4:700,Immune Response,,I,,Innate immune response,"ST2, FIT-1, ST2L, ST2V, DER4, T1, IL33R"
IL1RL2,,IL1RL2,NM_003854.2:595,Immune Response,,I,,Innate immune response,"IL1R-rp2, IL1RRP2"
IL1RN,,IL1RN,NM_000577.3:480,Immune Response,,,"Cytokines, Interleukins","Acute-phase response, Cytokines and receptors, Interleukins","IL1RA, ICIL-1RA, IL1F3, IRAP, IL-1RN, MGC10430"
IL2,,IL2,NM_000586.2:300,Immune Response,,A,"Cytokines, Regulation, T-Cell Functions","Adaptive immune response, Anti-inflammatory cytokines, B-cell activation, Cytokines and receptors, Innate immune response, Interleukins, Th1 & Th2 differentiation, T-cell differentiation, T-cell polarization, T-cell regulators","IL-2, TCGF"
IL21,,IL21,NM_021803.2:65,Immune Response,,A,"Cytokines, Interleukins","Adaptive immune response, Cytokines and receptors, Interleukins","Za11, IL-21"
IL21R,CD360,IL21R,NM_021798.2:2080,Immune Response - Cell Type specific,NK CD56dim cells,A,Cell Functions,"Adaptive immune response, Basic cell functions, Cell Type specific, CD molecules",CD360
IL22,,IL22,NM_020525.4:319,Immune Response,,F,Cytokines,"Acute-phase response, Anti-inflammatory cytokines, Interleukins","ILTIF, IL-21, zcyto18, IL-TIF, IL-D110, TIFa, TIFIL-23, IL-22, MGC79382, MGC79384"
IL22RA1,,IL22RA1,NM_021258.2:2524,Immune Response,,,Chemokines,Chemokines and receptors,"IL22R, CRF2-9"
IL22RA2,,IL22RA2,NM_181310.1:290,Immune Response,,,Chemokines,Chemokines and receptors,"CRF2-S1, IL-22BP"
IL23A,,IL23A,NM_016584.2:411,Immune Response,,I,Interleukins,"Innate immune response, Interleukins","SGRF, IL23P19, IL-23, IL-23A, P19"
IL23R,,IL23R,NM_144701.2:710,Immune Response,,,Cytokines,Cytokines and receptors,IL-23R
IL24,,IL24,NM_181339.1:1016,Immune Response,,F,"Cytokines, Interleukins","Anti-inflammatory cytokines, Interleukins","ST16, mda-7, IL10B, Mob-5, C49A, FISP, IL-24"
IL25,,IL25,NM_022789.2:1027,Immune Response,,F,Interleukins,"Inflammatory response to antigenic stimulus, Interleukins","IL17E, IL-25, IL-17E"
IL26,,IL26,NM_018402.1:80,Immune Response - Cell Type specific,,,"Cytokines, Interleukins","Cell Type specific, Cytokines and receptors, Interleukins","AK155, IL-26"
IL27,,p28,NM_145659.3:143,Immune Response,,I,Interleukins,"Innate immune response, Interleukins","IL30, IL-27, p28, IL27p28, IL-27A, IL27A, MGC71873"
IL2RA,CD25,IL2R,NM_000417.1:1000,Immune Response,,A;F,Regulation,"Adaptive immune response, CD molecules, Inflammatory response to antigenic stimulus, Negative regulation of immune response","IL2R, IDDM10, CD25"
IL2RB,CD122,IL2RB,NM_000878.2:1980,Immune Response,,A,Cytokines,"Adaptive immune response, CD molecules, Cytokines and receptors","IL15RB, CD122"
IL2RG,CD132,IL2RG,NM_000206.1:595,Immune Response,,A,Chemokines,"Adaptive immune response, CD molecules, Chemokines and receptors","SCIDX1, IMD4, CIDX, CD132"
IL3,,IL3,NM_000588.3:130,Immune Response,,,"Regulation, T-Cell Functions","Interleukins, Regulators of Th1 and Th2 development","IL-3, MULTI-CSF, MCGF, MGC79398, MGC79399"
IL32,,IL32,NM_004221.4:358,Immune Response,,,"Chemokines, Interleukins","Chemokines and receptors, Interleukins","NK4, TAIF, TAIFb, TAIFd"
IL34,,IL34,NM_152456.1:860,Immune Response,,I,Interleukins,"Innate immune response, Interleukins","C16orf77, MGC34647, IL-34"
IL3RA,CD123,CD123,NM_002183.2:745,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific, CD molecules",CD123
IL4,,IL4,NM_000589.2:625,Immune Response,,,"Interleukins, Regulation, T-Cell Functions","Interleukins, Regulation of immune response, Th2 orientation","BSF1, IL-4, BCGF1, BCGF-1, MGC79402"
IL4R,CD124,CD124,NM_000418.2:705,Immune Response,,,"Cytokines, T-Cell Functions","CD molecules, Cytokines and receptors, Th1 & Th2 differentiation, Th2 orientation, T-cell polarization",CD124
IL5,,IL5,NM_000879.2:105,Immune Response,,,"Cytokines, Interleukins, Regulation, T-Cell Functions","Cytokines and receptors, Interleukins, Regulators of Th1 and Th2 development, Th2 orientation, T-cell polarization","IL-5, EDF, TRF"
IL5RA,CD125,IL5RA,NM_000564.3:210,Immune Response - Cell Type specific,,,Cytokines,"Cell Type specific, CD molecules, Cytokines and receptors","IL5R, CDw125, CD125"
IL6,,IL6,NM_000600.1:220,Immune Response,,H,Interleukins,"Humoral immune response, Interleukins","IFNB2, IL-6, BSF2, HGF, HSF"
IL6R,CD126,CD126,NM_000565.2:993,Immune Response,,,Cytokines,"Acute-phase response, CD molecules, Cytokines and receptors",CD126
IL6ST,CD130,GP130,NM_002184.2:2505,Immune Response,,F,Chemokines,"CD molecules, Inflammatory response, Chemokines and receptors","GP130, CD130"
IL7,,IL7,NM_000880.2:38,Immune Response,,A;H,Interleukins,"Adaptive immune response, Humoral immune response, Interleukins",IL-7
IL7R,CD127,CD127,NM_002185.2:1610,Immune Response,,A,Cytokines,"Adaptive immune response, CD molecules, Cytokines and receptors",CD127
IL8,,IL-8,NM_000584.2:25,Immune Response,,F;I,"Chemokines, Cytokines, Interleukins, Pathogen Defense, Regulation","Chemokines and receptors, Cytokines and receptors, Defense response to virus, Innate immune response, Interleukins, Regulation of inflammatory response","IL8RB, CMKAR2, CD182"
IL9,,P40,NM_000590.1:300,Immune Response,,F,Cytokines,"Cytokines and receptors, Interleukins, Regulation of inflammatory response","IL-9, HP40, P40"
ILF3,,ILF3,NM_001137673.1:730,Immune Response,,,Chemokines,Chemokines and receptors,"NF90, MPHOSPH4, MPP4, DRBP76, NFAR-1"
INPP5D,,INPP5D,NM_005541.3:4075,Immune Response,,,Regulation,Negative regulation of immune response,"SHIP, hp51CN"
IRAK1,,IRAK,NM_001569.3:1995,Immune Response,,I,,Innate immune response,"IRAK, pelle"
IRAK2,,IRAK2,NM_001570.3:1285,Immune Response,,I,,Innate immune response,
IRAK4,,IRAK4,NM_016123.1:2175,Immune Response,,I,,Innate immune response,NY-REN-64
IRF1,,IRF1,NM_002198.1:510,Immune Response,,,"Chemokines, NK Cell Functions, Regulation, T-Cell Functions","Cytokines and receptors, Th1 orientation, Transcription factors, Transcriptional regulators",MAR
IRF2,,IRF2,NM_002199.3:1624,Immune Response,,,"Chemokines, Regulation","Cytokines and receptors, Transcription factors, Transcriptional regulators",
IRF3,,IRF3,NM_001571.5:1303,Immune Response,,I,,Innate immune response,
IRF4,,IRF4,NM_002460.1:325,Immune Response,,,"B-Cell Functions, Regulation, T-Cell Functions","Regulators of T-cell activation, Transcription factors, Transcriptional regulators, T-cell differentiation","MUM1, LSIRF"
IRF5,,IRF5,NM_002200.3:1845,Immune Response,,,Senescence,Senescence initiators interferon related,
IRF7,,IRF7,NM_001572.3:1763,Immune Response,,I,,Innate immune response,
IRF8,,IRF8,NM_002163.2:253,Immune Response,,,"Chemokines, Regulation","Cytokines and receptors, Transcription factors, Transcriptional regulators","ICSBP1, IRF-8, ICSBP"
IRGM,,IRGM,NM_001145805.1:1412,Immune Response,,I,,Innate immune response,"IRGM1, LRG47, LRG-47, IFI1"
ISG15,,ISG15,NM_005101.3:305,Immune Response,,I,,Innate immune response,"G1P2, IFI15, UCRP"
ISG20,,ISG20,NM_002201.4:358,Immune Response,,I,,Innate immune response,"HEM45, CD25"
ITCH,,ITCH,NM_001257138.1:438,Immune Response,,I,,Innate immune response,AIP4
ITGA1,CD49a,CD49a,NM_181501.1:1875,Immune Response,,,"Adhesion, NK Cell Functions, T-Cell Functions","Adhesion, CD molecules, T-cell anergy","VLA1, CD49a"
ITGA2,CD49B,CD49b,NM_002203.2:475,Immune Response,,,Adhesion,"Adhesion, CD molecules","CD49B, CD49b"
ITGA2B,CD41,CD41,NM_000419.3:740,Immune Response,,,Adhesion,"Adhesion, CD molecules","GP2B, CD41B, CD41, PPP1R93"
ITGA4,CD49D,CD49D,NM_000885.4:975,Immune Response,,,"Adhesion, Regulation","Adhesion, CD molecules, Regulation of immune response","CD49D, CD49d"
ITGA5,CD49e,CD49e,NM_002205.2:925,Immune Response,,I,Adhesion,"Adhesion, CD molecules, Innate immune response","FNRA, CD49e"
ITGA6,CD49f,CD49f,NM_000210.1:3065,Immune Response,,,Adhesion,"Adhesion, CD molecules",CD49f
ITGAE,CD103,CD103,NM_002208.4:3405,Immune Response,,,Adhesion,"Adhesion, CD molecules","CD103, HUMINAE"
ITGAL,CD11A,CD11A,NM_002209.2:3905,Immune Response,,,"Adhesion, Regulation","Adhesion, CD molecules, Regulation of immune response","CD11A, LFA-1"
ITGAM,CD11B,CD11b,NM_000632.3:515,Immune Response,,I,"Adhesion, Transporter Functions","Adhesion, CD molecules, Innate immune response, Receptors involved in phagocytosis","CR3A, CD11B, MAC-1, CD11b"
ITGAX,CD11C,CD11c,NM_000887.3:700,Immune Response,,I,Adhesion,"Adhesion, CD molecules, Innate immune response","CD11C, CD11c"
ITGB1,CD29,CD29,NM_033666.2:2000,Immune Response,,,"Adhesion, Regulation","Adhesion, CD molecules, Regulation of immune response","FNRB, MSK12, MDF2, CD29, GPIIA"
ITGB2,CD18,CD18,NM_000211.2:520,Immune Response,,,"Adhesion, Regulation","Adhesion, CD molecules, Regulation of immune response","CD18, MFI7, LFA-1, MAC-1"
ITGB3,CD61,CD61,NM_000212.2:4485,Immune Response,,,Adhesion,"Adhesion, CD molecules","GP3A, CD61, GPIIIa"
ITGB4,CD104,CD104,NM_001005731.1:4151,Immune Response,,,Adhesion,"Adhesion, CD molecules",CD104
ITK,,ITK,NM_005546.3:3430,Immune Response,,A,,Adaptive immune response,"EMT, PSCTK2, LYK"
JAK1,,JAK1,NM_002227.1:285,Immune Response,,I,"Cytokines, Regulation","Cytokines and receptors, Innate immune response, Positive regulation of immune response","JAK1B, JAK1A, JTK3"
JAK2,,JAK2,NM_004972.2:455,Immune Response,,I,"Cytokines, Regulation","Cytokines and receptors, Innate immune response, Positive regulation of immune response",JTK10
JAK3,,JAK3,NM_000215.2:1715,Immune Response,,I,"Cytokines, Regulation","Cytokines and receptors, Innate immune response, Positive regulation of immune response","L-JAK, JAKL, LJAK, JAK3_HUMAN, JAK-3"
JAM3,,JAM3,NM_032801.3:890,Immune Response,,A,,Adaptive immune response,"JAM-C, JAMC"
KIR_Activating_Subgroup_1,CD158E2,KIR3DS1,NM_001083539.1:1146,Immune Response,,,"NK Cell Functions, Regulation","CD molecules, NK cell functions, Regulation of immune response",nkat10
KIR_Activating_Subgroup_2,CD158H,KIR2DS1,NM_014512.1:718,Immune Response,,,"NK Cell Functions, Regulation","CD molecules, NK cell functions, Regulation of immune response","CD158H, EB6ActI, EB6ActII"
KIR_Inhibiting_Subgroup_1,CD158A,KIR2DL1,NM_014218.2:872,Immune Response,,,"NK Cell Functions, Regulation","CD molecules, NK cell functions, Regulation of immune response","cl-42, nkat1, 47.11, p58.1, CD158A"
KIR_Inhibiting_Subgroup_2,CD158B2,KIR2DL3,NM_014511.3:592,Immune Response,NK CD56dim cells,,"NK Cell Functions, Regulation","CD molecules, NK cell functions, Regulation of immune response","cl-6, nkat2, nkat2a, nkat2b, p58, CD158B2"
KIR3DL1,CD158E1,KIR3DL1,NM_013289.2:1691,Immune Response - Checkpoint,NK CD56dim cells,,"NK Cell Functions, Regulation","CD molecules, NK cell functions, Regulation of immune response","KIR, cl-2, NKB1, cl-11, nkat3, NKB1B, AMB11, CD158e1/2, CD158E1, CD158e2"
KIR3DL2,CD158K,KIR3DL2,NM_006737.2:884,Immune Response,NK CD56dim cells,,"NK Cell Functions, Regulation","CD molecules, NK cell functions, Regulation of immune response","cl-5, nkat4, nkat4a, nkat4b, CD158K"
KIR3DL3,CD158z,KIR3DL3,NM_153443.3:539,Immune Response,,,"NK Cell Functions, Regulation","CD molecules, NK cell functions, Regulation of immune response","KIRC1, KIR3DL7, KIR44, CD158z"
KIT,CD117,KIT,NM_000222.2:2644,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific, CD molecules","PBT, CD117, SCFR, C-Kit"
KLRB1,CD161,CD161,NM_002258.2:85,Immune Response,Cytotoxic cells,F,"Chemokines, NK Cell Functions","CD molecules, Chemokines and receptors, Inflammatory response, NK cell functions","NKR, CD161, NKR-P1, NKR-P1A, hNKR-P1A, CLEC5B"
KLRC1,CD159a,KLRC1,NM_002259.3:335,Immune Response,,,"NK Cell Functions, Regulation","CD molecules, NK cell functions, Regulation of immune response","NKG2, NKG2-A, NKG2-B, CD159a"
KLRC2,CD159c,KLRC2,NM_002260.3:942,Immune Response,,,NK Cell Functions,"CD molecules, NK cell functions","NKG2-C, CD159c"
KLRD1,CD94,CD94,NM_002262.3:542,Immune Response - Cell Type specific,Cytotoxic cells,,"NK Cell Functions, Regulation","Cell Type specific, NK cell functions, Regulation of immune response",CD94
KLRF1,,NKp80,NM_016523.1:275,Immune Response - Cell Type specific,,,"Cell Functions, NK Cell Functions","Basic cell functions, Cell Type specific, NK cell functions","CLEC5C, NKp80"
KLRG1,,KLRG1,NM_005810.3:65,Immune Response,,I,"NK Cell Functions, Regulation","Innate immune response, NK cell functions, Regulation of immune response","MAFA, 2F1, MAFA-L, CLEC15A"
KLRK1,CD314,KLRK1,NM_007360.3:522,Immune Response,Cytotoxic cells,,"NK Cell Functions, Regulation","CD molecules, NK cell functions, Regulation of immune response","D12S2489E, NKG2D, KLR, NKG2-D, CD314"
LAG3,CD223,CD223,NM_002286.5:1735,Immune Response - Checkpoint,Exhausted CD8,A,"Regulation, T-Cell Functions","Adaptive immune response, CD molecules, Negative regulation of immune response, T-cell activation",CD223
LAIR2,CD306,LAIR2,NM_002288.3:524,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific, CD molecules",CD306
LAMP1,CD107a,LAMP1,NM_005561.3:2070,Immune Response,,,Transporter Functions,"Autophagy induction by intracellular pathogens, CD molecules, Genes linking autophagosome to lysosome",CD107a
LAMP2,CD107b,LAMP2,NM_001122606.1:46,Immune Response,,,,CD molecules,CD107b
LAMP3,CD208,LAMP3,NM_014398.3:1400,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific, CD molecules","LAMP, TSC403, DC-LAMP, DCLAMP, CD208"
LBP,,LBP,NM_004139.2:792,Immune Response,,I,Macrophage Functions,"Innate immune response, Macrophage activation",BPIFD2
LCK,,LCK,NM_005356.2:1260,Immune Response,,,"Regulation, T-Cell Functions",Regulators of T-cell activation,
LCN2,,LCN2,NM_005564.3:325,Immune Response,,I,,Innate immune response,"NGAL, 24p3"
LCP1,,plastin-2,NM_002298.4:3195,Immune Response,,,"Leukocyte Functions, Macrophage Functions, T-Cell Functions",T-cell activation,"PLS2, CP64, L-PLASTIN, LC64P"
LGALS3,,LGALS3,NM_001177388.1:495,Immune Response,,I,,Innate immune response,"LGALS2, MAC-2, GALIG"
LIF,,LIF,NM_002309.3:1240,Immune Response,,,Cell Functions,Basic cell functions,"CDF, DIA, HILDA"
LILRA1,CD85i,LILRA1,NM_006863.1:1719,Immune Response,,,Regulation,"CD molecules, Regulation of immune response","LIR-6, CD85i, LIR6"
LILRA4,CD85g,LILRA4,NM_012276.3:1577,Immune Response,,I,,"CD molecules, Innate immune response","ILT7, CD85g"
LILRA5,CD85,LILRA5,NM_181879.2:545,Immune Response,,I,,"CD molecules, Innate immune response","LILRB7, ILT11, LIR9, CD85, CD85f"
LILRB1,CD85,LILRB1,NM_001081637.1:2332,Immune Response,,,"NK Cell Functions, Regulation, T-Cell Functions","CD molecules, Regulation of immune response, T-cell proliferation","LIR-1, ILT2, MIR-7, CD85, LIR1, CD85j"
LILRB2,CD85d,LILRB2,NM_005874.1:595,Immune Response,,,Regulation,"CD molecules, Regulation of immune response","LIR-2, ILT4, MIR-10, LIR2, CD85d, MIR10"
LILRB3,CD85a,LILRB3,NM_006864.2:2235,Immune Response,,,Regulation,"CD molecules, Regulation of immune response","LIR-3, HL9, ILT5, LIR3, CD85a"
LRP1,CD91,LRP1,NM_002332.2:4240,Immune Response,,,,CD molecules,"APR, A2MR, LRP, CD91, LRP1A, APOER"
LRRN3,,LRRN3,NM_001099660.1:2940,Immune Response,,,,CD molecules,"NLRR3, FLJ11129, FIGLER5"
LTA,,LTA,NM_000595.2:885,Immune Response - Cell Type specific,,F;H,Chemokines,"Cell Type specific, Chronic inflammatory response to antigenic stimulus, Cytokines and receptors, Humoral immune response","TNFB, TNFSF1, LT"
LTB,,LTB,NM_002341.1:330,Immune Response,,,"Cytokines, TNF Superfamily","Cytokines and receptors, TNF superfamily members and their receptors","TNFC, p33, TNFSF3"
LTBR,,LTBR,NM_002342.1:1435,Immune Response,,,Chemokines,Chemokines and receptors,"D12S370, TNFCR, TNFR-RP, TNFR2-RP, TNF-R-III, TNFRSF3"
LTF,,LTF,NM_002343.2:590,Immune Response,,H,,Humoral immune response,HLF2
LTK,,LTK,NM_001135685.1:2418,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific",TYK1
LY86,,MD-1,NM_004271.3:255,Immune Response,,H;I,,"Innate immune response, Humoral immune response","MD-1, dJ80N2.1"
LY9,CD229,LY9,NM_001033667.1:260,Immune Response,,A,,"Adaptive immune response, CD molecules","CD229, mLY9, SLAMF3, hly9"
LY96,,MD-2,NM_015364.2:360,Immune Response,,I,,Innate immune response,MD-2
LYN,,LYN,NM_002350.1:1285,Immune Response,,I,Regulation,"Negative regulation of immune response, Innate immune response",JTK8
MAF,,MAF,NM_005360.4:888,Immune Response - Cell Type specific,,,"Cell Functions, T-Cell Functions","Basic cell functions, Cell Type specific, Th2 orientation",c-MAF
MAGEA1,,MAGEA1,NM_004988.4:476,CT Antigen,,,,,"MAGE1, MGC9326, CT1.1"
MAGEA12,,MAGEA12,NM_001166386.1:567,CT Antigen,,,,,"MAGE12, CT1.12"
MAGEA3,,MAGEA3,NM_005362.3:849,CT Antigen,,,,,"MAGE3, HYPD, HIP8, MGC14613, CT1.3"
MAGEA4,,MAGEA4,NM_001011548.1:778,CT Antigen,,,,,"MAGE4, MAGE4A, MAGE4B, MAGE-41, MAGE-X2, MGC21336, CT1.4"
MAGEB2,,MAGEB2,NM_002364.4:1026,CT Antigen,,,,,"DAM6, MAGE-XP-2, MGC26438, CT3.2"
MAGEC1,,MAGEC1,NM_005462.4:2920,CT Antigen,,,,,"MAGE-C1, CT7, MGC39366, CT7.1"
MAGEC2,,MAGEC2,NM_016249.3:860,CT Antigen,,,,,"MAGEE1, CT10, MAGE-C2"
MAP2K1,,MAP2K1,NM_002755.2:970,Immune Response,,I,,Innate immune response,"PRKMK1, MEK1, MAPKK1"
MAP2K2,,MAP2K2,NM_030662.2:1325,Immune Response,,I,,Innate immune response,"PRKMK2, MEK2"
MAP2K4,,MAP2K4,NM_003010.2:2830,Immune Response,,I,,Innate immune response,"SERK1, MEK4, JNKK1, PRKMK4, MKK4"
MAP3K1,,MAP3K1,NM_005921.1:2525,Immune Response,,I,,Innate immune response,"MEKK1, MEKK, MAPKKK1"
MAP3K5,,MAPKKK5,NM_005923.3:1760,Immune Response,,I,,Innate immune response,"MEKK5, MAPKKK5, ASK1"
MAP3K7,,MAP3K7,NM_145333.1:670,Immune Response,,I,,Innate immune response,"TAK1, MEKK7"
MAP4K2,,MAP4K2,NM_004579.2:1610,Immune Response,,I,,Innate immune response,"RAB8IP, GCK, BL44"
MAPK1,,MAPK1,NM_138957.2:430,Immune Response,,I,,Innate immune response,"PRKM2, PRKM1, ERK, ERK2, p41mapk, MAPK2"
MAPK11,,SAPK2,NM_002751.5:1310,Immune Response,,I,,Innate immune response,"PRKM11, p38-2, p38Beta, SAPK2"
MAPK14,,MAPK14,NM_001315.1:450,Immune Response,,I,,Innate immune response,"CSPB1, CSBP1, CSBP2, PRKM14, p38, Mxi2, PRKM15"
MAPK3,,MAPK3,NM_001040056.1:580,Immune Response,,I,,Innate immune response,"PRKM3, ERK1, p44mapk, p44erk1"
MAPK8,,JNK1,NM_002750.2:945,Immune Response,,I,,Innate immune response,"PRKM8, JNK, JNK1, SAPK1"
MAPKAPK2,,MAPKAPK2,NM_004759.3:710,Immune Response,,I,,Innate immune response,
MARCO,,MARCO,NM_006770.3:1434,Immune Response - Cell Type specific,,I,,"Cell Type specific, Innate immune response",SCARA2
MASP1,,MASP,NM_139125.3:35,Immune Response,,I,,Innate immune response,"CRARF, PRSS5, MASP"
MASP2,,MASP2,NM_139208.1:330,Immune Response,,I,,Innate immune response,MASP1P1
MAVS,,MAVS,NM_020746.3:3460,Immune Response,,I,,Innate immune response,"VISA, KIAA1271, IPS-1, Cardif"
MBL2,,MBL,NM_000242.2:1756,Immune Response,,I,,Innate immune response,"MBL, COLEC1"
MCAM,CD146,CD146,NM_006500.2:1515,Immune Response,,,Adhesion,"Adhesion, CD molecules","MUC18, CD146"
MEF2C,,MEF2C,NM_002397.3:2445,Immune Response,,H,,Humoral immune response,
MEFV,,MEFV,NM_000243.2:1162,Immune Response,,I,,Innate immune response,"MEF, FMF, TRIM20"
MERTK,,MERTK,NM_006343.2:665,Immune Response,,,Transporter Functions,Phagyocytosis signal transduction,"mer, RP38"
MFGE8,,MFGE8,NM_001114614.1:328,Immune Response,,,Transporter Functions,Receptors involved in phagocytosis,"SPAG10, SED1, EDIL1, BA46, OAcGD3S, HsT19888, MFG-E8, hP47"
MICA,,MICA,NM_000247.1:550,Immune Response,,,Regulation,"Immune response to tumor cell, Regulation of immune response",PERB11.1
MICB,,MICB,NM_005931.3:1387,Immune Response,,,Regulation,Regulation of immune response,PERB11.2
MIF,,MIF,NM_002415.1:319,Immune Response,,I,,Innate immune response,"GLIF, GIF"
